initial_phase_difference, sync_required_time
0.003142, 7.860000
0.006283, 7.170000
0.009425, 6.760000
0.012566, 6.470000
0.015708, 6.250000
0.018850, 6.070000
0.021991, 5.920000
0.025133, 5.780000
0.028274, 5.660000
0.031416, 5.560000
0.034558, 5.460000
0.037699, 5.380000
0.040841, 5.300000
0.043982, 5.220000
0.047124, 5.150000
0.050265, 5.090000
0.053407, 5.030000
0.056549, 4.970000
0.059690, 4.920000
0.062832, 4.870000
0.065973, 4.820000
0.069115, 4.770000
0.072257, 4.730000
0.075398, 4.680000
0.078540, 4.640000
0.081681, 4.600000
0.084823, 4.570000
0.087965, 4.530000
0.091106, 4.500000
0.094248, 4.460000
0.097389, 4.430000
0.100531, 4.400000
0.103673, 4.370000
0.106814, 4.340000
0.109956, 4.310000
0.113097, 4.280000
0.116239, 4.250000
0.119381, 4.230000
0.122522, 4.200000
0.125664, 4.170000
0.128805, 4.150000
0.131947, 4.130000
0.135088, 4.100000
0.138230, 4.080000
0.141372, 4.060000
0.144513, 4.040000
0.147655, 4.010000
0.150796, 3.990000
0.153938, 3.970000
0.157080, 3.950000
0.160221, 3.930000
0.163363, 3.910000
0.166504, 3.900000
0.169646, 3.880000
0.172788, 3.860000
0.175929, 3.840000
0.179071, 3.820000
0.182212, 3.810000
0.185354, 3.790000
0.188496, 3.770000
0.191637, 3.760000
0.194779, 3.740000
0.197920, 3.720000
0.201062, 3.710000
0.204204, 3.690000
0.207345, 3.680000
0.210487, 3.660000
0.213628, 3.650000
0.216770, 3.630000
0.219911, 3.620000
0.223053, 3.610000
0.226195, 3.590000
0.229336, 3.580000
0.232478, 3.570000
0.235619, 3.550000
0.238761, 3.540000
0.241903, 3.530000
0.245044, 3.510000
0.248186, 3.500000
0.251327, 3.490000
0.254469, 3.480000
0.257611, 3.470000
0.260752, 3.450000
0.263894, 3.440000
0.267035, 3.430000
0.270177, 3.420000
0.273319, 3.410000
0.276460, 3.400000
0.279602, 3.390000
0.282743, 3.370000
0.285885, 3.360000
0.289027, 3.350000
0.292168, 3.340000
0.295310, 3.330000
0.298451, 3.320000
0.301593, 3.310000
0.304734, 3.300000
0.307876, 3.290000
0.311018, 3.280000
0.314159, 3.270000
0.317301, 3.260000
0.320442, 3.250000
0.323584, 3.240000
0.326726, 3.230000
0.329867, 3.220000
0.333009, 3.220000
0.336150, 3.210000
0.339292, 3.200000
0.342434, 3.190000
0.345575, 3.180000
0.348717, 3.170000
0.351858, 3.160000
0.355000, 3.150000
0.358142, 3.150000
0.361283, 3.140000
0.364425, 3.130000
0.367566, 3.120000
0.370708, 3.110000
0.373850, 3.100000
0.376991, 3.100000
0.380133, 3.090000
0.383274, 3.080000
0.386416, 3.070000
0.389557, 3.060000
0.392699, 3.060000
0.395841, 3.050000
0.398982, 3.040000
0.402124, 3.030000
0.405265, 3.030000
0.408407, 3.020000
0.411549, 3.010000
0.414690, 3.010000
0.417832, 3.000000
0.420973, 2.990000
0.424115, 2.980000
0.427257, 2.980000
0.430398, 2.970000
0.433540, 2.960000
0.436681, 2.960000
0.439823, 2.950000
0.442965, 2.940000
0.446106, 2.940000
0.449248, 2.930000
0.452389, 2.920000
0.455531, 2.920000
0.458673, 2.910000
0.461814, 2.900000
0.464956, 2.900000
0.468097, 2.890000
0.471239, 2.880000
0.474380, 2.880000
0.477522, 2.870000
0.480664, 2.870000
0.483805, 2.860000
0.486947, 2.850000
0.490088, 2.850000
0.493230, 2.840000
0.496372, 2.840000
0.499513, 2.830000
0.502655, 2.820000
0.505796, 2.820000
0.508938, 2.810000
0.512080, 2.810000
0.515221, 2.800000
0.518363, 2.800000
0.521504, 2.790000
0.524646, 2.790000
0.527788, 2.780000
0.530929, 2.770000
0.534071, 2.770000
0.537212, 2.760000
0.540354, 2.760000
0.543496, 2.750000
