time, theta_1, theta_2, phase_diff
0.000000, 0.000000, 0.707107, 0.785398

0.010000, 0.244228, 0.863076, 0.794605

0.020000, 0.473607, 0.962839, 0.803944

0.030000, 0.674268, 0.999849, 0.813417

0.040000, 0.834098, 0.971640, 0.823026

0.050000, 0.943470, 0.880003, 0.832774

0.060000, 0.995820, 0.730871, 0.842664

0.070000, 0.988035, 0.533939, 0.852697

0.080000, 0.920639, 0.302043, 0.862878

0.090000, 0.797747, 0.050322, 0.873207

0.100000, 0.626819, -0.204766, 0.883688

0.110000, 0.418192, -0.446518, 0.894324

0.120000, 0.184461, -0.659079, 0.905117

0.130000, -0.060291, -0.828485, 0.916070

0.140000, -0.301340, -0.943581, 0.927186

0.150000, -0.524207, -0.996758, 0.938468

0.160000, -0.715533, -0.984463, 0.949918

0.170000, -0.863870, -0.907440, 0.961540

0.180000, -0.960371, -0.770691, 0.973336

0.190000, -0.999311, -0.583158, 0.985309

0.200000, -0.978420, -0.357142, 0.997463

0.210000, -0.899013, -0.107502, 1.009800

0.220000, -0.765903, 0.149318, 1.022324

0.230000, -0.587102, 0.396372, 1.035036

0.240000, -0.373332, 0.617328, 1.047941

0.250000, -0.137385, 0.797548, 1.061040

0.260000, 0.106654, 0.925061, 1.074338

0.270000, 0.344246, 0.991363, 1.087836

0.280000, 0.561264, 0.991990, 1.101538

0.290000, 0.744834, 0.926823, 1.115446

0.300000, 0.884095, 0.800108, 1.129564

0.310000, 0.970842, 0.620188, 1.143893

0.320000, 0.999998, 0.398961, 1.158437

0.330000, 0.969913, 0.151095, 1.173197

0.340000, 0.882445, -0.106937, 1.188177

0.350000, 0.742844, -0.357948, 1.203378

0.360000, 0.559427, -0.585186, 1.218803

0.370000, 0.343078, -0.773448, 1.234454

0.380000, 0.106600, -0.910101, 1.250332

0.390000, -0.136048, -0.985940, 1.266439

0.400000, -0.370577, -0.995807, 1.282776

0.410000, -0.583209, -0.938953, 1.299344

0.420000, -0.761484, -0.819104, 1.316145

0.430000, -0.894991, -0.644220, 1.333179

0.440000, -0.975965, -0.425978, 1.350446

0.450000, -0.999738, -0.178995, 1.367946

0.460000, -0.965002, 0.080143, 1.385679

0.470000, -0.873869, 0.333995, 1.403644

0.480000, -0.731743, 0.565438, 1.421840

0.490000, -0.546987, 0.758823, 1.440265

0.500000, -0.330430, 0.901038, 1.458917

0.510000, -0.094729, 0.982404, 1.477795

0.520000, 0.146379, 0.997336, 1.496894

0.530000, 0.378870, 0.944742, 1.516212

0.540000, 0.589255, 0.828101, 1.535744

0.550000, 0.765356, 0.655250, 1.555485

0.560000, 0.897006, 0.437857, 1.575431

0.570000, 0.976635, 0.190640, 1.595575

0.580000, 0.999698, -0.069625, 1.615912

0.590000, 0.964927, -0.325244, 1.636433

0.600000, 0.874394, -0.558807, 1.657132

0.610000, 0.733388, -0.754379, 1.677999

0.620000, 0.550095, -0.898591, 1.699027

0.630000, 0.335126, -0.981561, 1.720204

0.640000, 0.100899, -0.997575, 1.741522

0.650000, -0.139081, -0.945488, 1.762968

0.660000, -0.370994, -0.828813, 1.784531

0.670000, -0.581501, -0.655482, 1.806199

0.680000, -0.758508, -0.437317, 1.827959

0.690000, -0.891854, -0.189218, 1.849798

0.700000, -0.973895, 0.071851, 1.871703

0.710000, -0.999936, 0.328031, 1.893658

0.720000, -0.968493, 0.561784, 1.915649

0.730000, -0.881385, 0.757108, 1.937661

0.740000, -0.743619, 0.900627, 1.959678

0.750000, -0.563110, 0.982519, 1.981686

0.760000, -0.350221, 0.997184, 2.003667

0.770000, -0.117180, 0.943631, 2.025607

0.780000, 0.122628, 0.825545, 2.047488

0.790000, 0.355418, 0.651026, 2.069296

0.800000, 0.567799, 0.432037, 2.091014

0.810000, 0.747540, 0.183569, 2.112625

0.820000, 0.884272, -0.077379, 2.134116

0.830000, 0.970086, -0.332978, 2.155470

0.840000, 0.999990, -0.565788, 2.176672

0.850000, 0.972205, -0.759949, 2.197707

0.860000, 0.888274, -0.902263, 2.218562

0.870000, 0.752978, -0.983092, 2.239224

0.880000, 0.574077, -0.997006, 2.259678

0.890000, 0.361863, -0.943138, 2.279912

0.900000, 0.128583, -0.825235, 2.299915

0.910000, -0.112270, -0.651386, 2.319676

0.920000, -0.346728, -0.433460, 2.339183

0.930000, -0.561159, -0.186284, 2.358428

0.940000, -0.743057, 0.073369, 2.377401

0.950000, -0.881773, 0.327928, 2.396095

0.960000, -0.969143, 0.560210, 2.414501

0.970000, -0.999977, 0.754586, 2.432613

0.980000, -0.972368, 0.898024, 2.450425

0.990000, -0.887824, 0.980959, 2.467932

1.000000, -0.751191, 0.997923, 2.485129

1.010000, -0.570389, 0.947894, 2.502013

1.020000, -0.355955, 0.834348, 2.518580

1.030000, -0.120440, 0.665002, 2.534828

1.040000, 0.122323, 0.451286, 2.550756

1.050000, 0.358028, 0.207555, 2.566363

1.060000, 0.572736, -0.049874, 2.581647

1.070000, 0.753708, -0.303823, 2.596609

