time, theta_0, theta_1, theta_2, theta_3, theta_4, theta_5, theta_6, theta_7, theta_8, theta_9, theta_10, theta_11, theta_12, theta_13, theta_14, theta_15, theta_16, theta_17, theta_18, theta_19, theta_20, theta_21, theta_22, theta_23, theta_24, theta_25, theta_26, theta_27, theta_28, theta_29, theta_30, theta_31, theta_32, theta_33, theta_34, theta_35, theta_36, theta_37, theta_38, theta_39, theta_40, theta_41, theta_42, theta_43, theta_44, theta_45, theta_46, theta_47, theta_48, theta_49, theta_50, theta_51, theta_52, theta_53, theta_54, theta_55, theta_56, theta_57, theta_58, theta_59, theta_60, theta_61, theta_62, theta_63, theta_64, theta_65, theta_66, theta_67, theta_68, theta_69, theta_70, theta_71, theta_72, theta_73, theta_74, theta_75, theta_76, theta_77, theta_78, theta_79, theta_80, theta_81, theta_82, theta_83, theta_84, theta_85, theta_86, theta_87, theta_88, theta_89, theta_90, theta_91, theta_92, theta_93, theta_94, theta_95, theta_96, theta_97, theta_98, theta_99, OrderPara_drawX, OrderPara_drawY

0.000000, 0.005508, 4.600751, 3.944559, 2.317332, 4.209298, 3.288801, 1.690158, 0.206392, 0.510179, 4.307779, 5.983054, 1.097256, 0.428003, 5.479417, 6.205922, 2.050968, 1.060168, 5.417343, 5.922234, 3.055705, 4.765351, 5.771381, 6.065687, 1.312478, 4.842399, 0.100676, 1.885381, 1.501202, 3.719193, 3.351115, 6.006304, 2.300780, 2.480195, 1.985647, 2.771960, 4.789253, 5.375388, 4.511166, 6.259229, 5.767531, 4.199399, 0.286715, 5.893407, 2.361557, 6.095195, 0.884791, 4.668962, 0.547884, 3.415013, 5.517123, 5.324466, 3.179026, 3.963035, 4.960990, 1.493373, 4.076571, 3.078427, 3.377238, 5.223258, 4.921020, 2.017822, 3.182837, 5.181742, 4.597340, 3.166201, 2.044478, 5.077975, 1.018405, 0.939939, 1.632977, 0.497594, 0.150297, 0.208361, 2.183743, 2.084183, 0.112673, 2.448902, 3.829012, 1.819594, 1.651907, 4.495856, 0.257121, 4.883182, 0.672261, 1.531079, 3.197279, 2.872331, 1.546567, 5.901686, 3.267809, 0.740325, 1.935504, 1.971084, 3.057741, 1.286302, 4.711979, 0.961618, 1.565717, 1.027518, 3.293627, 0.048693, 0.047468

0.010000, 0.256296, 4.851715, 4.195907, 2.569310, 4.460493, 3.540480, 1.942082, 0.457309, 0.761328, 4.558916, 6.233705, 1.348870, 0.679087, 5.730023, 6.456666, 2.302955, 1.311756, 5.667958, 6.172868, 3.307482, 5.016222, 6.021985, 6.316367, 1.564232, 5.093229, 0.351523, 2.137351, 1.753054, 3.970664, 3.602767, 6.256963, 2.552760, 2.732148, 2.237630, 3.023837, 5.040112, 5.626012, 4.762182, 6.510001, 6.018135, 4.450601, 0.537690, 6.144033, 2.613530, 6.345887, 1.136246, 4.919887, 0.799064, 3.666635, 5.767724, 5.575102, 3.430752, 4.214372, 5.211762, 1.745221, 4.327844, 3.330195, 3.628877, 5.473924, 5.171811, 2.269808, 3.434562, 5.432422, 4.848306, 3.417933, 2.296465, 5.328694, 1.269963, 1.191437, 1.884882, 0.748734, 0.401176, 0.459279, 2.435731, 2.336172, 0.363527, 2.700860, 4.080424, 2.071552, 1.903819, 4.746881, 0.508075, 5.133991, 0.923544, 1.782944, 3.448998, 3.124175, 1.798439, 6.152314, 3.519497, 0.991664, 2.187482, 2.223066, 3.309517, 1.538040, 4.962879, 1.213133, 1.817597, 1.279082, 3.545304, 0.035170, 0.057787

0.020000, 0.507087, 5.102681, 4.447255, 2.821284, 4.711690, 3.792156, 2.194003, 0.708228, 1.012479, 4.810055, 6.484359, 1.600485, 0.930171, 5.980632, 6.707412, 2.554940, 1.563344, 5.918577, 6.423504, 3.559256, 5.267097, 6.272591, 6.567050, 1.815985, 5.344063, 0.602371, 2.389319, 2.004904, 4.222133, 3.854415, 6.507624, 2.804736, 2.984096, 2.489610, 3.275711, 5.290973, 5.876640, 5.013201, 6.760775, 6.268741, 4.701803, 0.788666, 6.394662, 2.865499, 6.596582, 1.387701, 5.170815, 1.050245, 3.918255, 6.018329, 5.825742, 3.682476, 4.465710, 5.462537, 1.997068, 4.579118, 3.581960, 3.880514, 5.724593, 5.422605, 2.521790, 3.686284, 5.683105, 5.099274, 3.669662, 2.548449, 5.579418, 1.521520, 1.442935, 2.136785, 0.999874, 0.652057, 0.710199, 2.687716, 2.588158, 0.614382, 2.952815, 4.331835, 2.323507, 2.155728, 4.997908, 0.759029, 5.384804, 1.174827, 2.034807, 3.700714, 3.376016, 2.050308, 6.402944, 3.771183, 1.243002, 2.439456, 2.475044, 3.561290, 1.789777, 5.213783, 1.464647, 2.069474, 1.530646, 3.796978, 0.019586, 0.064382

0.030000, 0.757879, 5.353651, 4.698604, 3.073255, 4.962888, 4.043831, 2.445922, 0.959148, 1.263630, 5.061195, 6.735015, 1.852098, 1.181257, 6.231245, 6.958160, 2.806921, 1.814931, 6.169200, 6.674142, 3.811026, 5.517974, 6.523201, 6.817735, 2.067737, 5.594900, 0.853220, 2.641283, 2.256752, 4.473602, 4.106062, 6.758288, 3.056709, 3.236041, 2.741587, 3.527580, 5.541838, 6.127271, 5.264222, 7.011551, 6.519350, 4.953007, 1.039644, 6.645294, 3.117464, 6.847279, 1.639155, 5.421746, 1.301427, 4.169872, 6.268937, 6.076385, 3.934197, 4.717049, 5.713315, 2.248912, 4.830392, 3.833721, 4.132149, 5.975266, 5.673403, 2.773770, 3.938003, 5.933793, 5.350246, 3.921388, 2.800430, 5.830145, 1.773076, 1.694433, 2.388685, 1.251015, 0.902938, 0.961121, 2.939698, 2.840140, 0.865240, 3.204766, 4.583246, 2.575459, 2.407635, 5.248938, 1.009985, 5.635621, 1.426110, 2.286668, 3.952428, 3.627853, 2.302176, 6.653578, 4.022866, 1.494341, 2.691428, 2.727020, 3.813060, 2.041514, 5.464690, 1.716161, 2.321349, 1.782209, 4.048650, 0.002938, 0.066881

0.040000, 1.008673, 5.604623, 4.949953, 3.325222, 5.214087, 4.295502, 2.697839, 1.210069, 1.514781, 5.312337, 6.985674, 2.103710, 1.432343, 6.481861, 7.208910, 3.058899, 2.066517, 6.419827, 6.924784, 4.062793, 5.768855, 6.773814, 7.068423, 2.319487, 5.845741, 1.104071, 2.893245, 2.508599, 4.725070, 4.357706, 7.008954, 3.308678, 3.487983, 2.993561, 3.779447, 5.792707, 6.377906, 5.515246, 7.262329, 6.769963, 5.204212, 1.290622, 6.895928, 3.369425, 7.097978, 1.890610, 5.672679, 1.552609, 4.421488, 6.519549, 6.327033, 4.185915, 4.968387, 5.964098, 2.500755, 5.081667, 4.085480, 4.383781, 6.225943, 5.924204, 3.025746, 4.189720, 6.184483, 5.601220, 4.173112, 3.052408, 6.080875, 2.024632, 1.945930, 2.640584, 1.502157, 1.153822, 1.212043, 3.191676, 3.092119, 1.116098, 3.456713, 4.834657, 2.827408, 2.659540, 5.499971, 1.260942, 5.886441, 1.677393, 2.538527, 4.204138, 3.879687, 2.554042, 6.904214, 4.274547, 1.745680, 2.943396, 2.978992, 4.064826, 2.293249, 5.715600, 1.967675, 2.573223, 2.033771, 4.300320, -0.013720, 0.065168
