time, frog_0, frog_1, frog_2, frog_3, frog_4, frog_5, frog_6, frog_7, frog_8, frog_9, frog_10, frog_11, frog_12, frog_13, frog_14, frog_15, frog_16, frog_17, frog_18, frog_19, frog_20, frog_21, frog_22, frog_23, frog_24, frog_25, frog_26, frog_27, frog_28, frog_29, frog_30, frog_31, frog_32, frog_33, frog_34, frog_35, frog_36, frog_37, frog_38, frog_39, frog_40, frog_41, frog_42, frog_43, frog_44, frog_45, frog_46, frog_47, frog_48, frog_49, frog_50, frog_51, frog_52, frog_53, frog_54, frog_55, frog_56, frog_57, frog_58, frog_59, frog_60, frog_61, frog_62, frog_63, frog_64, frog_65, frog_66, frog_67, frog_68, frog_69, frog_70, frog_71, frog_72, frog_73, frog_74, frog_75, frog_76, frog_77, frog_78, frog_79, frog_80, frog_81, frog_82, frog_83, frog_84, frog_85, frog_86, frog_87, frog_88, frog_89, frog_90, frog_91, frog_92, frog_93, frog_94, frog_95, frog_96, frog_97, frog_98, frog_99
0.000000, 0, -1, -1, -1, -1, -1, -1, 7, 8, -1, -1, 11, 12, -1, -1, -1, 16, -1, -1, -1, -1, -1, -1, 23, -1, 25, -1, 27, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 41, -1, -1, -1, 45, -1, 47, -1, -1, -1, -1, -1, -1, 54, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 67, 68, -1, 70, 71, 72, -1, -1, 75, -1, -1, -1, -1, -1, 81, -1, 83, 84, -1, -1, 87, -1, -1, 90, -1, -1, -1, 94, -1, 96, 97, 98, -1
0.010000, 0, -1, -1, -1, -1, -1, -1, 7, 8, -1, -1, 11, 12, -1, 14, -1, 16, -1, -1, -1, -1, -1, 22, 23, -1, 25, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 38, -1, -1, 41, -1, -1, 44, 45, -1, 47, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 67, 68, -1, 70, 71, 72, -1, -1, 75, -1, -1, -1, -1, -1, 81, -1, 83, -1, -1, -1, -1, -1, -1, 90, -1, -1, -1, 94, -1, 96, -1, 98, -1
0.020000, 0, -1, -1, -1, -1, -1, -1, 7, 8, -1, 10, -1, 12, -1, 14, -1, 16, -1, 18, -1, -1, -1, 22, -1, -1, 25, -1, -1, -1, -1, 30, -1, -1, -1, -1, -1, -1, -1, 38, -1, -1, 41, 42, -1, 44, 45, -1, 47, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 67, 68, -1, 70, 71, 72, -1, -1, 75, -1, -1, -1, -1, -1, 81, -1, 83, -1, -1, -1, -1, 88, -1, 90, -1, -1, -1, -1, -1, 96, -1, 98, -1
0.030000, 0, -1, -1, -1, -1, -1, -1, 7, 8, -1, 10, -1, 12, -1, 14, -1, -1, -1, 18, -1, -1, 21, 22, -1, -1, 25, -1, -1, -1, -1, 30, -1, -1, -1, -1, -1, -1, -1, 38, 39, -1, 41, 42, -1, 44, -1, -1, 47, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 70, 71, 72, -1, -1, 75, -1, -1, -1, -1, -1, 81, -1, 83, -1, -1, -1, -1, 88, -1, 90, -1, -1, -1, -1, -1, -1, -1, -1, -1
0.040000, 0, -1, -1, -1, -1, -1, -1, 7, 8, -1, 10, -1, 12, 13, 14, -1, -1, 17, 18, -1, -1, 21, 22, -1, -1, 25, -1, -1, -1, -1, 30, -1, -1, -1, -1, -1, 36, -1, 38, 39, -1, 41, 42, -1, 44, -1, -1, 47, -1, 49, 50, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 70, 71, 72, -1, -1, 75, -1, -1, -1, -1, -1, 81, -1, -1, -1, -1, -1, -1, 88, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
0.050000, 0, -1, -1, -1, -1, -1, -1, 7, -1, -1, 10, -1, -1, 13, 14, -1, -1, 17, 18, -1, -1, 21, 22, -1, -1, 25, -1, -1, -1, -1, 30, -1, -1, -1, -1, -1, 36, -1, 38, 39, -1, 41, 42, -1, 44, -1, -1, -1, -1, 49, 50, -1, -1, -1, -1, -1, -1, -1, 58, -1, -1, -1, 62, -1, -1, -1, 66, -1, -1, -1, -1, 71, 72, -1, -1, 75, -1, -1, -1, -1, -1, 81, -1, -1, -1, -1, -1, -1, 88, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
0.060000, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 10, -1, -1, 13, 14, -1, -1, 17, 18, -1, -1, 21, 22, -1, 24, -1, -1, -1, -1, -1, 30, -1, -1, -1, -1, 35, 36, -1, 38, 39, -1, -1, 42, -1, 44, -1, -1, -1, -1, 49, 50, -1, -1, 53, -1, -1, -1, -1, 58, 59, -1, -1, 62, -1, -1, -1, 66, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 82, -1, -1, -1, -1, -1, 88, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
0.070000, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 10, -1, -1, 13, -1, -1, -1, 17, 18, -1, 20, 21, 22, -1, 24, -1, -1, -1, -1, -1, 30, -1, -1, -1, -1, 35, 36, -1, -1, 39, -1, -1, 42, -1, 44, -1, 46, -1, -1, 49, 50, -1, -1, 53, -1, -1, -1, -1, 58, 59, -1, -1, 62, 63, -1, -1, 66, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 82, -1, -1, -1, -1, -1, 88, -1, -1, -1, -1, -1, -1, 95, -1, -1, -1, -1
0.080000, -1, 1, -1, -1, -1, -1, -1, -1, -1, 9, -1, -1, -1, 13, -1, -1, -1, 17, -1, -1, 20, 21, -1, -1, 24, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 35, 36, 37, -1, 39, -1, -1, -1, -1, -1, -1, 46, -1, -1, 49, 50, -1, -1, 53, -1, -1, -1, -1, 58, 59, -1, -1, 62, 63, -1, -1, 66, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 80, -1, 82, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 95, -1, -1, -1, -1
0.090000, -1, 1, -1, -1, 4, -1, -1, -1, -1, 9, -1, -1, -1, 13, -1, -1, -1, 17, -1, -1, 20, -1, -1, -1, 24, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 35, 36, 37, -1, -1, 40, -1, -1, -1, -1, -1, 46, -1, -1, 49, 50, -1, -1, 53, -1, 55, -1, -1, 58, 59, -1, -1, 62, 63, -1, -1, 66, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 80, -1, 82, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 95, -1, -1, -1, -1
