phi, gamma0, gamma0.25, gamma0.5, gamma0.75, gamma1.0
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
0.031416, 0.062822, 0.031426, 0.000031, -0.031364, -0.062760
0.062832, 0.125581, 0.062914, 0.000248, -0.062419, -0.125085
0.094248, 0.188217, 0.094526, 0.000835, -0.092855, -0.186546
0.125664, 0.250666, 0.126322, 0.001977, -0.122368, -0.246713
0.157080, 0.312869, 0.158360, 0.003852, -0.150657, -0.305165
0.188496, 0.374763, 0.190700, 0.006638, -0.177424, -0.361486
0.219911, 0.436286, 0.223397, 0.010507, -0.202382, -0.415272
0.251327, 0.497380, 0.256503, 0.015626, -0.225251, -0.466128
0.282743, 0.557982, 0.290069, 0.022155, -0.245758, -0.513671
0.314159, 0.618034, 0.324141, 0.030249, -0.263644, -0.557537
0.345575, 0.677476, 0.358764, 0.040052, -0.278660, -0.597372
0.376991, 0.736249, 0.393976, 0.051702, -0.290572, -0.632845
0.408407, 0.794296, 0.429811, 0.065327, -0.299157, -0.663641
0.439823, 0.851559, 0.466302, 0.081045, -0.304211, -0.689468
0.471239, 0.907981, 0.503473, 0.098964, -0.305544, -0.710053
0.502655, 0.963507, 0.541343, 0.119179, -0.302985, -0.725149
0.534071, 1.018083, 0.579929, 0.141776, -0.296377, -0.734531
0.565487, 1.071654, 0.619240, 0.166827, -0.285587, -0.738001
0.596903, 1.124167, 0.659279, 0.194390, -0.270498, -0.735386
0.628319, 1.175571, 0.700042, 0.224514, -0.251014, -0.726543
0.659734, 1.225814, 0.741523, 0.257231, -0.227061, -0.711352
0.691150, 1.274848, 0.783704, 0.292561, -0.198583, -0.689727
0.722566, 1.322624, 0.826566, 0.330509, -0.165548, -0.661606
0.753982, 1.369094, 0.870081, 0.371067, -0.127946, -0.626959
0.785398, 1.414214, 0.914214, 0.414214, -0.085786, -0.585786
0.816814, 1.457937, 0.958924, 0.459911, -0.039103, -0.538116
0.848230, 1.500222, 1.004165, 0.508107, 0.012050, -0.484007
0.879646, 1.541026, 1.049883, 0.558739, 0.067596, -0.423548
0.911062, 1.580310, 1.096018, 0.611727, 0.127435, -0.356856
0.942478, 1.618034, 1.142506, 0.666977, 0.191449, -0.284079
