gamma, StableEquil_1, StableEquil_2, UnstableEquil_1, UnstableEquil_2
0.000, 0.000000, 3.147876, 0.006283, -1
0.001, 0.000000, 3.147876, 0.006283, -1
0.002, 0.000000, 3.147876, 0.006283, -1
0.003, 0.000000, 3.147876, 0.006283, -1
0.004, 0.000000, 3.147876, 0.006283, -1
0.005, 0.000000, 3.147876, 0.006283, -1
0.006, 0.000000, 3.147876, 0.006283, -1
0.007, 0.000000, 3.147876, 0.006283, -1
0.008, 0.000000, 3.147876, 0.006283, -1
0.009, 0.000000, 3.147876, 0.006283, -1
0.010, 0.000000, 3.147876, 0.006283, -1
0.011, 0.000000, 3.147876, 0.006283, -1
0.012, 0.000000, 3.147876, 0.006283, -1
0.013, 0.000000, 3.147876, 0.006283, -1
0.014, 0.000000, 3.147876, 0.006283, -1
0.015, 0.000000, 3.147876, 0.006283, -1
0.016, 0.000000, 3.147876, 0.006283, -1
0.017, 0.000000, 3.147876, 0.006283, -1
0.018, 0.000000, 3.147876, 0.006283, -1
0.019, 0.000000, 3.147876, 0.006283, -1
0.020, 0.000000, 3.147876, 0.006283, -1
0.021, 0.000000, 3.147876, 0.006283, -1
0.022, 0.000000, 3.147876, 0.006283, -1
0.023, 0.000000, 3.147876, 0.006283, -1
0.024, 0.000000, 3.147876, 0.006283, -1
0.025, 0.000000, 3.147876, 0.006283, -1
0.026, 0.000000, 3.147876, 0.006283, -1
0.027, 0.000000, 3.147876, 0.006283, -1
0.028, 0.000000, 3.147876, 0.006283, -1
0.029, 0.000000, 3.147876, 0.006283, -1
0.030, 0.000000, 3.147876, 0.006283, -1
0.031, 0.000000, 3.147876, 0.006283, -1
0.032, 0.000000, 3.147876, 0.006283, -1
0.033, 0.000000, 3.147876, 0.006283, -1
0.034, 0.000000, 3.147876, 0.006283, -1
0.035, 0.000000, 3.147876, 0.006283, -1
0.036, 0.000000, 3.147876, 0.006283, -1
0.037, 0.000000, 3.147876, 0.006283, -1
0.038, 0.000000, 3.147876, 0.006283, -1
0.039, 0.000000, 3.147876, 0.006283, -1
0.040, 0.000000, 3.147876, 0.006283, -1
0.041, 0.000000, 3.147876, 0.006283, -1
0.042, 0.000000, 3.147876, 0.006283, -1
