gamma, phi_12, phi_13
0.000000, 2.073451, 4.178318
0.000000, 3.110177, 6.283185
0.000000, 3.141593, 3.141593
0.000000, 4.178318, 2.073451
0.000000, 6.283185, 3.110177
0.000000, 6.283185, 6.283185
0.001000, 0.000000, 6.283185
0.001000, 2.073451, 4.178318
0.001000, 3.110177, 6.283185
0.001000, 3.141593, 3.141593
0.001000, 4.178318, 2.073451
0.001000, 6.283185, 0.000000
0.001000, 6.283185, 3.110177
0.001000, 6.283185, 6.283185
0.002000, 0.000000, 3.141593
0.002000, 2.073451, 4.178318
0.002000, 3.110177, 6.283185
0.002000, 3.141593, 0.000000
0.002000, 3.141593, 3.141593
0.002000, 4.178318, 2.073451
0.002000, 6.283185, 3.110177
0.002000, 6.283185, 6.283185
0.003000, 0.000000, 6.283185
0.003000, 2.073451, 4.178318
0.003000, 3.110177, 6.283185
0.003000, 3.141593, 3.141593
0.003000, 4.178318, 2.073451
0.003000, 6.283185, 0.000000
0.003000, 6.283185, 3.110177
0.003000, 6.283185, 6.283185
0.004000, 0.000000, 3.141593
0.004000, 2.073451, 4.178318
0.004000, 3.110177, 6.283185
0.004000, 3.141593, 0.000000
0.004000, 3.141593, 3.141593
0.004000, 4.178318, 2.073451
0.004000, 6.283185, 3.110177
0.004000, 6.283185, 6.283185
0.005000, 2.073451, 4.178318
0.005000, 3.110177, 6.283185
0.005000, 3.141593, 3.141593
0.005000, 4.178318, 2.073451
0.005000, 6.283185, 3.110177
0.005000, 6.283185, 6.283185
0.006000, 2.073451, 4.178318
0.006000, 3.110177, 6.283185
0.006000, 3.141593, 3.141593
0.006000, 4.178318, 2.073451
0.006000, 6.283185, 3.110177
0.006000, 6.283185, 6.283185
0.007000, 2.073451, 4.178318
0.007000, 3.110177, 6.283185
0.007000, 3.141593, 3.141593
0.007000, 4.178318, 2.073451
0.007000, 6.283185, 3.110177
0.007000, 6.283185, 6.283185
0.008000, 2.073451, 4.178318
0.008000, 3.110177, 6.283185
0.008000, 3.141593, 3.141593
0.008000, 4.178318, 2.073451
0.008000, 6.283185, 3.110177
0.008000, 6.283185, 6.283185
0.009000, 0.000000, 6.283185
0.009000, 2.073451, 4.178318
0.009000, 3.110177, 6.283185
0.009000, 3.141593, 3.141593
0.009000, 4.178318, 2.073451
0.009000, 6.283185, 0.000000
0.009000, 6.283185, 3.110177
0.009000, 6.283185, 6.283185
0.010000, 2.073451, 4.178318
0.010000, 3.110177, 6.283185
0.010000, 3.141593, 3.141593
0.010000, 4.178318, 2.073451
0.010000, 6.283185, 3.110177
0.010000, 6.283185, 6.283185
0.011000, 0.000000, 3.141593
0.011000, 0.000000, 6.283185
0.011000, 2.073451, 4.178318
0.011000, 3.110177, 6.283185
0.011000, 3.141593, 0.000000
0.011000, 3.141593, 3.141593
0.011000, 4.178318, 2.073451
0.011000, 6.283185, 0.000000
0.011000, 6.283185, 3.110177
0.011000, 6.283185, 6.283185
0.012000, 0.000000, 3.141593
0.012000, 2.073451, 4.178318
0.012000, 3.110177, 6.283185
0.012000, 3.141593, 0.000000
0.012000, 3.141593, 3.141593
0.012000, 4.178318, 2.073451
0.012000, 6.283185, 3.110177
0.012000, 6.283185, 6.283185
0.013000, 0.000000, 6.283185
0.013000, 2.073451, 4.178318
0.013000, 3.110177, 6.283185
0.013000, 3.141593, 3.141593
0.013000, 4.178318, 2.073451
0.013000, 6.283185, 0.000000
0.013000, 6.283185, 3.110177
0.013000, 6.283185, 6.283185
0.014000, 0.000000, 3.141593
0.014000, 2.073451, 4.178318
0.014000, 3.110177, 6.283185
0.014000, 3.141593, 0.000000
0.014000, 3.141593, 3.141593
0.014000, 4.178318, 2.073451
0.014000, 6.283185, 3.110177
0.014000, 6.283185, 6.283185
0.015000, 2.073451, 4.178318
0.015000, 3.110177, 6.283185
0.015000, 3.141593, 3.141593
0.015000, 4.178318, 2.073451
0.015000, 6.283185, 3.110177
0.015000, 6.283185, 6.283185
0.016000, 2.073451, 4.178318
0.016000, 3.110177, 6.283185
0.016000, 3.141593, 3.141593
0.016000, 4.178318, 2.073451
0.016000, 6.283185, 3.110177
0.016000, 6.283185, 6.283185
0.017000, 2.073451, 4.178318
0.017000, 3.110177, 6.283185
0.017000, 3.141593, 3.141593
0.017000, 4.178318, 2.073451
0.017000, 6.283185, 3.110177
0.017000, 6.283185, 6.283185
0.018000, 2.073451, 4.178318
0.018000, 3.110177, 6.283185
0.018000, 3.141593, 3.141593
0.018000, 4.178318, 2.073451
0.018000, 6.283185, 3.110177
0.018000, 6.283185, 6.283185
0.019000, 0.000000, 3.141593
0.019000, 0.000000, 6.283185
0.019000, 2.073451, 4.178318
0.019000, 3.110177, 6.283185
0.019000, 3.141593, 0.000000
0.019000, 3.141593, 3.141593
0.019000, 4.178318, 2.073451
0.019000, 6.283185, 0.000000
0.019000, 6.283185, 3.110177
0.019000, 6.283185, 6.283185
