gamma, phi_12, phi_13
0.000000, 3.141593, 6.283185
0.000000, 6.283185, 3.141593
0.001000, 3.141593, 6.283185
0.001000, 6.283185, 3.141593
0.002000, 3.141593, 6.283185
0.002000, 6.283185, 3.141593
0.003000, 3.141593, 6.283185
0.003000, 6.283185, 3.141593
0.004000, 0.000000, 6.283185
0.004000, 3.141593, 6.283185
0.004000, 6.283185, 0.000000
0.004000, 6.283185, 3.141593
0.005000, 0.000000, 3.141593
0.005000, 0.000000, 6.283185
0.005000, 3.141593, 0.000000
0.005000, 3.141593, 6.283185
0.005000, 6.283185, 0.000000
0.005000, 6.283185, 3.141593
0.006000, 3.141593, 6.283185
0.006000, 6.283185, 3.141593
0.007000, 0.000000, 3.141593
0.007000, 0.000000, 6.283185
0.007000, 3.141593, 0.000000
0.007000, 3.141593, 6.283185
0.007000, 6.283185, 0.000000
0.007000, 6.283185, 3.141593
0.008000, 0.000000, 3.141593
0.008000, 3.141593, 0.000000
0.008000, 3.141593, 6.283185
0.008000, 6.283185, 3.141593
0.009000, 0.000000, 3.141593
0.009000, 3.141593, 0.000000
0.009000, 3.141593, 6.283185
0.009000, 6.283185, 3.141593
0.010000, 0.000000, 6.283185
0.010000, 3.141593, 6.283185
0.010000, 6.283185, 0.000000
0.010000, 6.283185, 3.141593
0.011000, 3.141593, 6.283185
0.011000, 6.283185, 3.141593
0.012000, 0.000000, 6.283185
0.012000, 3.141593, 6.283185
0.012000, 6.283185, 0.000000
0.012000, 6.283185, 3.141593
0.013000, 3.141593, 6.283185
0.013000, 6.283185, 3.141593
0.014000, 3.141593, 6.283185
0.014000, 6.283185, 3.141593
0.015000, 0.000000, 6.283185
0.015000, 3.141593, 6.283185
0.015000, 6.283185, 0.000000
0.015000, 6.283185, 3.141593
0.016000, 0.000000, 3.141593
0.016000, 3.141593, 0.000000
0.016000, 3.141593, 6.283185
0.016000, 6.283185, 3.141593
0.017000, 0.000000, 3.141593
0.017000, 0.000000, 6.283185
0.017000, 3.141593, 0.000000
0.017000, 3.141593, 6.283185
0.017000, 6.283185, 0.000000
0.017000, 6.283185, 3.141593
0.018000, 3.141593, 6.283185
0.018000, 6.283185, 3.141593
0.019000, 3.141593, 6.283185
0.019000, 6.283185, 3.141593
0.020000, 0.000000, 3.141593
0.020000, 0.000000, 6.283185
0.020000, 3.141593, 0.000000
0.020000, 3.141593, 6.283185
0.020000, 6.283185, 0.000000
0.020000, 6.283185, 3.141593
0.021000, 0.000000, 3.141593
0.021000, 3.141593, 0.000000
0.021000, 3.141593, 6.283185
0.021000, 6.283185, 3.141593
0.022000, 0.000000, 6.283185
0.022000, 3.141593, 6.283185
0.022000, 6.283185, 0.000000
0.022000, 6.283185, 3.141593
0.023000, 0.000000, 3.141593
0.023000, 3.141593, 0.000000
0.023000, 3.141593, 6.283185
0.023000, 6.283185, 3.141593
0.024000, 3.141593, 6.283185
0.024000, 6.283185, 3.141593
0.025000, 0.000000, 3.141593
0.025000, 3.141593, 0.000000
0.025000, 3.141593, 6.283185
0.025000, 6.283185, 3.141593
0.026000, 3.141593, 6.283185
0.026000, 6.283185, 3.141593
0.027000, 3.141593, 6.283185
0.027000, 6.283185, 3.141593
0.028000, 0.000000, 6.283185
0.028000, 3.141593, 6.283185
0.028000, 6.283185, 0.000000
0.028000, 6.283185, 3.141593
0.029000, 3.141593, 6.283185
0.029000, 6.283185, 3.141593
0.030000, 3.141593, 6.283185
0.030000, 6.283185, 3.141593
0.031000, 3.141593, 6.283185
0.031000, 6.283185, 3.141593
0.032000, 0.000000, 3.141593
0.032000, 3.141593, 0.000000
0.032000, 3.141593, 6.283185
0.032000, 6.283185, 3.141593
0.033000, 0.000000, 3.141593
0.033000, 3.141593, 0.000000
0.033000, 3.141593, 6.283185
0.033000, 6.283185, 3.141593
0.034000, 0.000000, 3.141593
0.034000, 0.000000, 6.283185
0.034000, 3.141593, 0.000000
0.034000, 3.141593, 6.283185
0.034000, 6.283185, 0.000000
0.034000, 6.283185, 3.141593
0.035000, 0.000000, 3.141593
0.035000, 0.000000, 6.283185
0.035000, 3.141593, 0.000000
0.035000, 3.141593, 6.283185
0.035000, 6.283185, 0.000000
0.035000, 6.283185, 3.141593
0.036000, 0.000000, 3.141593
0.036000, 3.141593, 0.000000
0.036000, 3.141593, 6.283185
0.036000, 6.283185, 3.141593
0.037000, 3.141593, 6.283185
0.037000, 6.283185, 3.141593
0.038000, 0.000000, 3.141593
0.038000, 0.000000, 6.283185
0.038000, 3.141593, 0.000000
0.038000, 3.141593, 6.283185
0.038000, 6.283185, 0.000000
0.038000, 6.283185, 3.141593
0.039000, 3.141593, 6.283185
0.039000, 6.283185, 3.141593
0.040000, 0.000000, 3.141593
0.040000, 3.141593, 0.000000
0.040000, 3.141593, 6.283185
0.040000, 6.283185, 3.141593
0.041000, 3.141593, 6.283185
0.041000, 6.283185, 3.141593
0.042000, 3.141593, 6.283185
0.042000, 6.283185, 3.141593
0.043000, 3.141593, 6.283185
0.043000, 6.283185, 3.141593
0.044000, 0.000000, 3.141593
0.044000, 3.141593, 0.000000
0.044000, 3.141593, 6.283185
0.044000, 6.283185, 3.141593
0.045000, 0.000000, 6.283185
0.045000, 3.141593, 6.283185
0.045000, 6.283185, 0.000000
0.045000, 6.283185, 3.141593
0.046000, 0.000000, 3.141593
0.046000, 0.000000, 6.283185
0.046000, 3.141593, 0.000000
0.046000, 3.141593, 6.283185
0.046000, 6.283185, 0.000000
0.046000, 6.283185, 3.141593
0.047000, 3.141593, 6.283185
0.047000, 6.283185, 3.141593
0.048000, 3.141593, 6.283185
0.048000, 6.283185, 3.141593
0.049000, 3.141593, 6.283185
0.049000, 6.283185, 3.141593
0.050000, 0.000000, 6.283185
0.050000, 3.141593, 6.283185
0.050000, 6.283185, 0.000000
0.050000, 6.283185, 3.141593
0.051000, 3.141593, 6.283185
0.051000, 6.283185, 3.141593
0.052000, 0.000000, 3.141593
0.052000, 0.000000, 6.283185
0.052000, 3.141593, 0.000000
0.052000, 3.141593, 6.283185
0.052000, 6.283185, 0.000000
0.052000, 6.283185, 3.141593
0.053000, 0.000000, 3.141593
0.053000, 0.000000, 6.283185
0.053000, 3.141593, 0.000000
0.053000, 3.141593, 6.283185
0.053000, 6.283185, 0.000000
0.053000, 6.283185, 3.141593
0.054000, 3.141593, 6.283185
0.054000, 6.283185, 3.141593
0.055000, 0.000000, 3.141593
0.055000, 0.000000, 6.283185
0.055000, 3.141593, 0.000000
0.055000, 3.141593, 6.283185
0.055000, 6.283185, 0.000000
0.055000, 6.283185, 3.141593
0.056000, 0.000000, 3.141593
0.056000, 3.141593, 0.000000
0.056000, 3.141593, 6.283185
0.056000, 6.283185, 3.141593
0.057000, 3.141593, 6.283185
0.057000, 6.283185, 3.141593
0.058000, 3.141593, 6.283185
0.058000, 6.283185, 3.141593
0.059000, 3.141593, 6.283185
0.059000, 6.283185, 3.141593
0.060000, 3.141593, 6.283185
0.060000, 6.283185, 3.141593
0.061000, 3.141593, 6.283185
0.061000, 6.283185, 3.141593
0.062000, 3.141593, 6.283185
0.062000, 6.283185, 3.141593
0.063000, 0.000000, 3.141593
0.063000, 3.141593, 0.000000
0.063000, 3.141593, 6.283185
0.063000, 6.283185, 3.141593
0.064000, 3.141593, 6.283185
0.064000, 6.283185, 3.141593
0.065000, 3.141593, 6.283185
0.065000, 6.283185, 3.141593
0.066000, 3.141593, 6.283185
0.066000, 6.283185, 3.141593
0.067000, 3.141593, 6.283185
0.067000, 6.283185, 3.141593
0.068000, 3.141593, 6.283185
0.068000, 6.283185, 3.141593
0.069000, 0.000000, 6.283185
0.069000, 3.141593, 6.283185
0.069000, 6.283185, 0.000000
0.069000, 6.283185, 3.141593
0.070000, 0.000000, 3.141593
0.070000, 3.141593, 0.000000
0.070000, 3.141593, 6.283185
0.070000, 6.283185, 3.141593
0.071000, 0.000000, 6.283185
0.071000, 3.141593, 6.283185
0.071000, 6.283185, 0.000000
0.071000, 6.283185, 3.141593
0.072000, 0.000000, 3.141593
0.072000, 3.141593, 0.000000
0.072000, 3.141593, 6.283185
0.072000, 6.283185, 3.141593
0.073000, 0.000000, 6.283185
0.073000, 3.141593, 6.283185
0.073000, 6.283185, 0.000000
0.073000, 6.283185, 3.141593
0.074000, 3.141593, 6.283185
0.074000, 6.283185, 3.141593
0.075000, 3.141593, 6.283185
0.075000, 6.283185, 3.141593
0.076000, 3.141593, 6.283185
0.076000, 6.283185, 3.141593
0.077000, 3.141593, 6.283185
0.077000, 6.283185, 3.141593
0.078000, 0.000000, 3.141593
0.078000, 0.000000, 6.283185
0.078000, 3.141593, 0.000000
0.078000, 3.141593, 6.283185
0.078000, 6.283185, 0.000000
0.078000, 6.283185, 3.141593
0.079000, 3.141593, 6.283185
0.079000, 6.283185, 3.141593
0.080000, 0.000000, 3.141593
0.080000, 3.141593, 0.000000
0.080000, 3.141593, 6.283185
0.080000, 6.283185, 3.141593
0.081000, 3.141593, 6.283185
0.081000, 6.283185, 3.141593
0.082000, 3.141593, 6.283185
0.082000, 6.283185, 3.141593
0.083000, 0.000000, 3.141593
0.083000, 3.141593, 0.000000
0.083000, 3.141593, 6.283185
0.083000, 6.283185, 3.141593
0.084000, 0.000000, 3.141593
0.084000, 3.141593, 0.000000
0.084000, 3.141593, 6.283185
0.084000, 6.283185, 3.141593
0.085000, 3.141593, 6.283185
0.085000, 6.283185, 3.141593
0.086000, 0.000000, 6.283185
0.086000, 3.141593, 6.283185
0.086000, 6.283185, 0.000000
0.086000, 6.283185, 3.141593
0.087000, 3.141593, 6.283185
0.087000, 6.283185, 3.141593
0.088000, 0.000000, 3.141593
0.088000, 3.141593, 0.000000
0.088000, 3.141593, 6.283185
0.088000, 6.283185, 3.141593
0.089000, 3.141593, 6.283185
0.089000, 6.283185, 3.141593
0.090000, 0.000000, 6.283185
0.090000, 3.141593, 6.283185
0.090000, 6.283185, 0.000000
0.090000, 6.283185, 3.141593
0.091000, 3.141593, 6.283185
0.091000, 6.283185, 3.141593
0.092000, 3.141593, 6.283185
0.092000, 6.283185, 3.141593
0.093000, 3.141593, 6.283185
0.093000, 6.283185, 3.141593
0.094000, 0.000000, 6.283185
0.094000, 3.141593, 6.283185
0.094000, 6.283185, 0.000000
0.094000, 6.283185, 3.141593
0.095000, 0.000000, 6.283185
0.095000, 3.141593, 6.283185
0.095000, 6.283185, 0.000000
0.095000, 6.283185, 3.141593
0.096000, 3.141593, 6.283185
0.096000, 6.283185, 3.141593
0.097000, 0.000000, 3.141593
0.097000, 3.141593, 0.000000
0.097000, 3.141593, 6.283185
0.097000, 6.283185, 3.141593
0.098000, 3.141593, 6.283185
0.098000, 6.283185, 3.141593
0.099000, 0.000000, 3.141593
0.099000, 3.141593, 0.000000
0.099000, 3.141593, 6.283185
0.099000, 6.283185, 3.141593
0.100000, 0.000000, 3.141593
