phi_12, phi_13
0.000000, 0.254469
0.000000, 0.471239
0.000000, 0.499513
0.000000, 0.521504
0.000000, 0.537212
0.000000, 0.540354
0.000000, 0.556062
0.000000, 0.559203
0.000000, 0.562345
0.000000, 0.565487
0.000000, 0.574911
0.000000, 0.593761
0.000000, 0.596903
0.000000, 0.612611
0.000000, 0.615752
0.000000, 0.622035
0.000000, 0.625177
0.000000, 0.640885
0.000000, 0.647168
0.000000, 0.650310
0.000000, 0.656593
0.000000, 0.659734
0.000000, 0.662876
0.000000, 0.678584
0.000000, 0.681726
0.000000, 0.691150
0.000000, 0.697434
0.000000, 0.710000
0.000000, 0.713142
0.000000, 0.716283
0.000000, 0.719425
0.000000, 0.722566
0.000000, 0.731991
0.000000, 0.738274
0.000000, 0.744557
0.000000, 0.747699
0.000000, 0.753982
0.000000, 0.757124
0.000000, 0.760265
0.000000, 0.763407
0.000000, 0.794823
0.000000, 0.801106
0.000000, 0.804248
0.000000, 0.810531
0.000000, 0.816814
0.000000, 0.819956
0.000000, 0.823097
0.000000, 0.848230
0.000000, 0.860796
0.000000, 0.863938
0.000000, 0.867080
0.000000, 0.870221
0.000000, 0.873363
0.000000, 0.876504
0.000000, 0.879646
0.000000, 0.882788
0.000000, 0.885929
0.000000, 0.889071
0.000000, 0.895354
0.000000, 0.898495
0.000000, 0.901637
0.000000, 0.904779
0.000000, 0.914203
0.000000, 0.923628
0.000000, 0.926770
0.000000, 0.929911
0.000000, 0.933053
0.000000, 0.936195
0.000000, 0.939336
0.000000, 0.942478
0.000000, 0.955044
0.000000, 0.958186
0.000000, 0.961327
0.000000, 0.983319
0.000000, 0.986460
0.000000, 0.995885
0.000000, 0.999026
0.000000, 1.002168
0.000000, 1.011593
0.000000, 1.049292
0.000000, 1.052434
0.000000, 1.055575
0.000000, 1.058717
0.000000, 1.061858
0.000000, 1.071283
0.000000, 1.074425
0.000000, 1.077566
0.000000, 1.080708
0.000000, 1.083849
0.000000, 1.086991
0.000000, 1.090133
0.000000, 1.093274
0.000000, 1.099557
0.000000, 1.102699
0.000000, 1.105841
0.000000, 1.108982
0.000000, 1.112124
0.000000, 1.124690
0.000000, 1.127832
0.000000, 1.130973
0.000000, 1.134115
0.000000, 1.137257
0.000000, 1.143540
0.000000, 1.146681
0.000000, 1.156106
0.000000, 1.165531
0.000000, 1.178097
0.000000, 1.184380
0.000000, 1.187522
0.000000, 1.190664
0.000000, 1.196947
0.000000, 1.203230
0.000000, 1.212655
0.000000, 1.225221
0.000000, 1.228363
0.000000, 1.237788
0.000000, 1.240929
0.000000, 1.259779
0.000000, 1.269203
0.000000, 1.272345
0.000000, 1.275487
0.000000, 1.288053
0.000000, 1.291195
0.000000, 1.294336
0.000000, 1.297478
0.000000, 1.310044
0.000000, 1.313186
0.000000, 1.319469
0.000000, 1.325752
0.000000, 1.332035
0.000000, 1.335177
0.000000, 1.338318
0.000000, 1.341460
0.000000, 1.354026
0.000000, 1.357168
0.000000, 1.360310
0.000000, 1.363451
0.000000, 1.366593
0.000000, 1.372876
0.000000, 1.376018
0.000000, 1.388584
0.000000, 1.391726
0.000000, 1.394867
0.000000, 1.398009
0.000000, 1.401150
0.000000, 1.410575
0.000000, 1.413717
0.000000, 1.416858
0.000000, 1.420000
0.000000, 1.423141
0.000000, 1.426283
0.000000, 1.435708
0.000000, 1.445133
0.000000, 1.451416
0.000000, 1.454557
0.000000, 1.460841
0.000000, 1.463982
0.000000, 1.470265
0.000000, 1.473407
0.000000, 1.482832
0.000000, 1.485973
0.000000, 1.489115
0.000000, 1.498540
0.000000, 1.511106
0.000000, 1.520531
0.000000, 1.523672
0.000000, 1.526814
0.000000, 1.529956
0.000000, 1.533097
0.000000, 1.539380
0.000000, 1.542522
0.000000, 1.545664
0.000000, 1.548805
0.000000, 1.551947
0.000000, 1.555088
0.000000, 1.558230
0.000000, 1.564513
0.000000, 1.567655
0.000000, 1.577080
0.000000, 1.580221
0.000000, 1.583363
0.000000, 1.586504
